63049B	1055.68479	1106.662273	89.9054	98.3503	329.3668	97.6201
63049C	1055.418896	1103.265203	89.9055	98.2764	290.9105	137.5647
63049D	1031.930053	1068.710638	89.9149	100.6361	222.3099	256.8984
63049E	970.6901207	1013.766156	89.9329	103.8672	185.8677	226.6052
63054A	647.2119034	677.7690401	58.4971	359.2347	353.9788	6.0986
63054C	659.4467019	811.3821203	58.4728	69.8416	249.1759	109.7804
63053B	596.5495672	2297.349273	78.6109	199.0332	339.9614	16.1701
63053C	396.8670023	879.1458819	78.4621	276.9402	324.6208	33.2606
63053E	557.8084412	1121.810979	78.5996	93.7386	219.4911	137.7183
64001A	896.8523726	919.4116946	69.9045	280.0129	310.1726	49.8023
64001B	890.1109485	913.9209687	69.907	212.0219	268.8858	91.0374
64001C	898.8355394	920.7221969	69.8992	278.5904	331.3589	28.6689
64001D	895.5432473	919.0339318	69.9044	269.0478	298.7743	165.8535
64001E	894.6931731	918.3489267	69.9041	261.8105	295.9428	172.5627
63053H	593.6574777	1395.244929	78.5783	279.5006	284.4463	69.6963
64002A	756.4255331	806.2028126	99.1161	278.924	110.3534	250.1388
64002B	783.2584001	802.6874342	99.024	207.8167	272.4843	87.4787
64002C	784.327373	808.6115172	99.0222	203.5677	17.4822	342.6937
64003A	1868.656009	7633.756147	46.4575	140.6513	239.7944	92.1286
64003B	1866.139133	7640.24153	46.4522	150.3728	230.8317	103.2025
63047H	484.2314727	1434.87457	30.4288	340.831	262.1958	90.4663
64004B	1037.659898	1298.926145	81.4875	106.6451	110.6166	358.0357
64004C	1029.238474	1290.002454	81.4699	15.2173	7.5594	352.8075
64004D	1026.798747	1288.547336	81.52	112.5703	260.5213	214.6782
63038E	1039.16168	1067.760916	90.088	324.8679	75.3051	338.782
64006A	411.9693416	6306.949321	60.8409	279.9387	176.2583	186.7905
64006C	386.9920372	3194.237854	60.7685	294.1341	169.8918	194.1822
63049F	1034.047968	1078.000894	89.9142	100.2982	340.7966	141.9302
64026A	804.9753068	877.4533309	90.5016	19.8141	28.7175	331.6759
64026B	774.2383868	825.4407877	89.9218	5.5294	63.885	296.6007
64026D	831.0996945	888.8442349	90.494	12.8283	338.8047	21.1482
64031A	806.3781235	813.3172716	99.7872	203.3739	248.8942	111.1717
64031B	808.9997376	816.0651548	99.7949	201.8988	336.3886	23.7063
64031C	789.5141666	807.0271375	99.8168	329.6943	144.4345	215.7647
64038A	404.0172193	6168.139303	60.8297	19.892	268.6655	57.5903
64038C	380.0367113	2994.488343	60.7052	87.8492	37.1995	333.0856
64047A	35772.64695	35807.08966	0.5287	349.5301	279.7895	317.2228
64047B	1196.243815	38391.56818	16.2747	116.2788	214.2361	334.326
64051A	851.2204717	993.1506797	79.8989	317.6426	283.1053	75.9267
64051B	830.7939175	957.035814	79.8955	153.6689	253.7675	105.3922
64053A	581.8749099	778.0381067	65.0602	214.88	357.0585	2.9682
64053B	646.2151041	741.863018	65.0774	218.8404	349.4387	10.5287
64054A	17884.28372	131097.4919	83.1574	328.9141	201.0373	0.0329
64063A	1027.425522	1066.677313	90.1508	18.3875	32.4662	25.8464
64063B	1043.610164	1070.161629	90.1549	17.8342	304.0894	226.9061
64064A	865.8460374	1042.255175	79.6929	183.0686	30.4295	330.3764
64063C	964.8597993	1006.703753	90.1481	15.542	19.0429	52.352
64063D	1039.518652	1065.596938	90.1576	17.8215	263.6368	167.1686
64063E	1046.48582	1072.864278	90.1558	17.9154	345.6473	81.2914
64063F	958.7432119	989.3114711	90.1535	13.5495	243.3899	168.8681
